epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.021,2.2699,4.00065,1.32434,0.67864,0.63327,0.65717,0.25831,2.04301,2.36534,1.21377,0.000332292,0.000332292,0.000332292
2,583.774,1.93624,1.94821,1.16538,0.85738,0.785,0.85317,0.39066,1.79259,1.517,1.15987,0.000533831,0.000533831,0.000533831
3,875.51,1.85162,1.49461,1.14245,0.89293,0.81797,0.89648,0.41136,1.77648,1.27895,1.14008,0.000603371,0.000603371,0.000603371
4,1144.04,1.78408,1.23332,1.11463,0.93173,0.88311,0.94149,0.46413,1.68219,1.02957,1.11467,0.000406,0.000406,0.000406
5,1412.05,1.69817,1.07247,1.07729,0.95164,0.93341,0.96228,0.48645,1.65039,0.90465,1.1047,0.000208,0.000208,0.000208
