epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.847,2.28876,4.08351,1.32315,0.64285,0.625,0.63698,0.26891,1.97462,2.36175,1.23146,0.000332292,0.000332292,0.000332292
2,542.628,1.9375,1.99624,1.15302,0.78619,0.74025,0.79303,0.35074,1.85854,1.60698,1.1611,0.000500883,0.000500883,0.000500883
3,802.089,1.84604,1.5174,1.12922,0.89497,0.81609,0.88988,0.41288,1.75736,1.23034,1.12735,0.000504474,0.000504474,0.000504474
4,1059.91,1.7444,1.22538,1.08982,0.93225,0.88316,0.93546,0.46017,1.7035,1.02572,1.10638,0.0002575,0.0002575,0.0002575
