epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9993.25,1.53214,0.70909,1.03655,0.97669,0.97973,0.98481,0.53826,1.53684,0.59806,1.05761,0.0005941,0.0005941,0.0005941
43,10230.8,1.52078,0.69479,1.03209,0.97569,0.97845,0.98419,0.54486,1.51181,0.58404,1.05074,0.0005842,0.0005842,0.0005842
44,10468.5,1.51094,0.7014,1.03212,0.97494,0.97736,0.98528,0.54158,1.52202,0.5966,1.05315,0.0005743,0.0005743,0.0005743
45,10707,1.5213,0.69345,1.03097,0.97719,0.97902,0.98327,0.54364,1.51605,0.5837,1.05391,0.0005644,0.0005644,0.0005644
46,10945.1,1.50659,0.69107,1.02677,0.98017,0.97343,0.9849,0.55113,1.50594,0.58363,1.04964,0.0005545,0.0005545,0.0005545
47,11183,1.49447,0.68438,1.02432,0.97894,0.981,0.98468,0.54804,1.49808,0.58103,1.04841,0.0005446,0.0005446,0.0005446
48,11415.5,1.49887,0.67691,1.02621,0.97596,0.97989,0.98407,0.54559,1.51151,0.57614,1.05171,0.0005347,0.0005347,0.0005347
49,11650.1,1.5041,0.68665,1.02153,0.97831,0.98066,0.98487,0.54876,1.50296,0.57326,1.04812,0.0005248,0.0005248,0.0005248
50,11881.4,1.48106,0.67797,1.02062,0.97754,0.98073,0.98497,0.55186,1.49151,0.57164,1.04526,0.0005149,0.0005149,0.0005149
51,12120,1.47521,0.66667,1.02036,0.97734,0.97789,0.98301,0.54407,1.50225,0.58143,1.04914,0.000505,0.000505,0.000505
52,12359.6,1.46474,0.66583,1.00955,0.98002,0.97571,0.98501,0.55022,1.49044,0.56788,1.04369,0.0004951,0.0004951,0.0004951
53,12597.2,1.46908,0.66254,1.01761,0.97738,0.97974,0.98494,0.55149,1.48673,0.56688,1.04333,0.0004852,0.0004852,0.0004852
54,12835,1.45332,0.66046,1.00822,0.97858,0.98378,0.98676,0.55885,1.47162,0.55521,1.03849,0.0004753,0.0004753,0.0004753
55,13079.8,1.4584,0.65975,1.01009,0.97842,0.98254,0.98694,0.5569,1.47916,0.56085,1.04074,0.0004654,0.0004654,0.0004654
56,13318.1,1.45953,0.65436,1.00854,0.97889,0.98258,0.98638,0.56154,1.46198,0.55024,1.03364,0.0004555,0.0004555,0.0004555
57,13556.9,1.43626,0.64794,1.01011,0.979,0.98468,0.98671,0.5569,1.47795,0.5534,1.03872,0.0004456,0.0004456,0.0004456
58,13794.6,1.43657,0.6441,1.00738,0.97929,0.98327,0.98699,0.56093,1.4656,0.55069,1.03454,0.0004357,0.0004357,0.0004357
59,14032.6,1.42231,0.64578,1.00135,0.97855,0.98459,0.98651,0.5637,1.4559,0.54545,1.03456,0.0004258,0.0004258,0.0004258
60,14272.4,1.43038,0.63932,1.003,0.98009,0.98604,0.98617,0.56554,1.44621,0.54049,1.03127,0.0004159,0.0004159,0.0004159
61,14511.8,1.42908,0.63885,0.99964,0.97896,0.98498,0.98727,0.56372,1.46152,0.54645,1.03444,0.000406,0.000406,0.000406
62,14752.1,1.42307,0.63797,1.00292,0.97974,0.98397,0.98602,0.56907,1.44359,0.53897,1.02925,0.0003961,0.0003961,0.0003961
63,14991.1,1.40615,0.63613,0.99804,0.98044,0.98195,0.98527,0.56505,1.44936,0.53643,1.03249,0.0003862,0.0003862,0.0003862
64,15230.2,1.40611,0.62945,0.99421,0.98076,0.98091,0.98437,0.56271,1.45462,0.54221,1.03269,0.0003763,0.0003763,0.0003763
65,15471.7,1.39512,0.62467,0.98693,0.98056,0.98561,0.98634,0.57065,1.43756,0.5341,1.02903,0.0003664,0.0003664,0.0003664
66,15712.7,1.39258,0.62226,0.9916,0.98181,0.98294,0.98705,0.56795,1.44025,0.53357,1.02924,0.0003565,0.0003565,0.0003565
67,15946.2,1.39298,0.6162,0.99379,0.97932,0.9833,0.98691,0.57176,1.43052,0.53095,1.02403,0.0003466,0.0003466,0.0003466
68,16175.8,1.38565,0.61183,0.9935,0.97995,0.98147,0.98675,0.57661,1.42384,0.53238,1.02538,0.0003367,0.0003367,0.0003367
69,16415.5,1.3775,0.61665,0.98863,0.97995,0.98602,0.98752,0.57496,1.43114,0.53013,1.02678,0.0003268,0.0003268,0.0003268
70,16653.8,1.3708,0.61237,0.98614,0.98141,0.98567,0.98794,0.57635,1.42458,0.52756,1.02263,0.0003169,0.0003169,0.0003169
71,16891,1.36344,0.60735,0.98634,0.98056,0.98218,0.98716,0.57893,1.41516,0.5274,1.02296,0.000307,0.000307,0.000307
72,17131.1,1.36141,0.60443,0.9911,0.98265,0.98555,0.98795,0.57973,1.41485,0.52211,1.021,0.0002971,0.0002971,0.0002971
73,17359,1.35313,0.60155,0.98124,0.98407,0.98287,0.98781,0.57919,1.41061,0.52452,1.0205,0.0002872,0.0002872,0.0002872
74,17592.8,1.35286,0.59824,0.98246,0.98092,0.98534,0.98854,0.58138,1.41043,0.51942,1.02074,0.0002773,0.0002773,0.0002773
75,17823.2,1.34119,0.59396,0.9798,0.98141,0.98435,0.98709,0.58175,1.40805,0.5189,1.01924,0.0002674,0.0002674,0.0002674
76,18052.6,1.33533,0.59523,0.97965,0.98015,0.9853,0.98826,0.582,1.40644,0.51546,1.01915,0.0002575,0.0002575,0.0002575
77,18280,1.32827,0.58712,0.97685,0.98328,0.98368,0.98829,0.58337,1.40304,0.51625,1.01841,0.0002476,0.0002476,0.0002476
78,18507.6,1.31806,0.58149,0.97466,0.98112,0.98597,0.98771,0.58517,1.39316,0.51401,1.01613,0.0002377,0.0002377,0.0002377
79,18737.3,1.31022,0.58327,0.96934,0.98405,0.98287,0.98821,0.58252,1.39875,0.51575,1.01849,0.0002278,0.0002278,0.0002278
80,18973.3,1.31018,0.58122,0.97535,0.9829,0.98584,0.98755,0.58525,1.39011,0.51169,1.01623,0.0002179,0.0002179,0.0002179
81,19203.1,1.31203,0.57904,0.96955,0.98198,0.98808,0.98881,0.58618,1.39413,0.50778,1.01684,0.000208,0.000208,0.000208
82,19432.8,1.3083,0.57796,0.96537,0.98181,0.98726,0.98757,0.58511,1.39462,0.50791,1.01799,0.0001981,0.0001981,0.0001981
83,19660.5,1.29808,0.57202,0.97006,0.98232,0.9859,0.98866,0.58576,1.38649,0.50812,1.01649,0.0001882,0.0001882,0.0001882
84,19888.9,1.29578,0.56857,0.96306,0.98153,0.9856,0.98886,0.58797,1.38185,0.50713,1.0131,0.0001783,0.0001783,0.0001783
85,20116.3,1.29726,0.57307,0.96975,0.98184,0.98737,0.98922,0.58796,1.38289,0.50515,1.01301,0.0001684,0.0001684,0.0001684
86,20339.7,1.27432,0.5647,0.96176,0.98209,0.98623,0.98832,0.58917,1.37795,0.504,1.01268,0.0001585,0.0001585,0.0001585
87,20563.6,1.27081,0.56124,0.95889,0.98241,0.98769,0.98942,0.58978,1.37856,0.50176,1.01306,0.0001486,0.0001486,0.0001486
88,20787.6,1.28101,0.56363,0.96396,0.98322,0.98671,0.98856,0.59102,1.37673,0.50019,1.01284,0.0001387,0.0001387,0.0001387
89,21012.5,1.26715,0.5587,0.95952,0.9833,0.9872,0.98955,0.59013,1.37612,0.50034,1.01356,0.0001288,0.0001288,0.0001288
90,21237.7,1.25496,0.55132,0.95427,0.9818,0.98692,0.98909,0.59281,1.36983,0.49871,1.01143,0.0001189,0.0001189,0.0001189
91,21484,1.24363,0.51777,0.98379,0.98606,0.98054,0.98821,0.59066,1.37665,0.50719,1.01402,0.000109,0.000109,0.000109
92,21706.6,1.21628,0.50715,0.97985,0.98171,0.98603,0.98799,0.59199,1.37758,0.50616,1.01462,9.91e-05,9.91e-05,9.91e-05
93,21929.4,1.21296,0.50284,0.97594,0.98026,0.98747,0.98819,0.59189,1.37394,0.50303,1.0132,8.92e-05,8.92e-05,8.92e-05
94,22152.4,1.19427,0.49525,0.97058,0.98111,0.987,0.98854,0.59383,1.36882,0.50085,1.01271,7.93e-05,7.93e-05,7.93e-05
95,22376.1,1.18833,0.49452,0.97069,0.98189,0.98722,0.98824,0.59429,1.36534,0.49866,1.01159,6.94e-05,6.94e-05,6.94e-05
96,22601.1,1.19083,0.49821,0.97216,0.98157,0.9874,0.98853,0.59498,1.36288,0.49735,1.01126,5.95e-05,5.95e-05,5.95e-05
97,22826.2,1.18623,0.49542,0.97138,0.98264,0.98645,0.98838,0.59547,1.36057,0.4971,1.01092,4.96e-05,4.96e-05,4.96e-05
98,23051,1.18243,0.49214,0.96759,0.98201,0.98676,0.98848,0.59559,1.35714,0.4959,1.00999,3.97e-05,3.97e-05,3.97e-05
99,23276.8,1.17753,0.48756,0.97052,0.98156,0.98821,0.98872,0.59645,1.35724,0.49566,1.00974,2.98e-05,2.98e-05,2.98e-05
100,23503.1,1.17273,0.49237,0.96617,0.98248,0.98732,0.98878,0.59716,1.35476,0.49406,1.00916,1.99e-05,1.99e-05,1.99e-05
